iter	Passed	Remaining
400	1227	1834
401	1229	1829
402	1230	1823
403	1232	1817
404	1233	1811
405	1234	1805
406	1236	1802
407	1239	1798
408	1240	1792
409	1242	1787
410	1243	1781
411	1244	1776
412	1246	1772
413	1251	1772
414	1254	1767
415	1255	1762
416	1256	1756
417	1258	1751
418	1260	1748
419	1264	1745
420	1265	1740
421	1266	1735
422	1267	1729
423	1270	1726
424	1275	1725
425	1277	1721
426	1278	1716
427	1279	1710
428	1281	1706
429	1286	1705
430	1289	1702
431	1292	1698
432	1293	1693
433	1302	1698
434	1304	1694
435	1305	1689
436	1307	1683
437	1308	1679
438	1310	1675
439	1313	1671
440	1315	1666
441	1316	1661
442	1317	1656
443	1318	1651
444	1321	1648
445	1325	1645
446	1327	1641
447	1328	1636
448	1329	1631
449	1331	1627
450	1334	1624
451	1338	1622
452	1339	1617
453	1341	1612
454	1342	1607
455	1350	1611
456	1352	1607
457	1354	1603
458	1356	1598
459	1357	1593
460	1359	1589
461	1362	1586
462	1363	1581
463	1364	1576
464	1365	1571
465	1367	1566
466	1368	1562
467	1371	1559
468	1410	1597
469	1435	1618
470	1473	1654
471	1475	1650
472	1477	1646
473	1478	1641
474	1480	1636
475	1503	1655
476	1505	1651
477	1507	1646
478	1508	1641
479	1517	1643
480	1519	1639
481	1520	1633
482	1521	1628
483	1524	1625
484	1528	1622
485	1529	1617
486	1530	1612
487	1531	1607
488	1533	1602
489	1543	1606
490	1545	1602
491	1546	1597
492	1548	1592
493	1552	1590
494	1554	1585
495	1555	1580
496	1556	1575
497	1557	1570
498	1560	1566
499	1565	1565
500	1566	1560
501	1568	1555
502	1569	1550
503	1572	1547
504	1575	1544
505	1577	1540
506	1578	1535
507	1580	1530
508	1581	1525
509	1585	1523
510	1589	1521
511	1591	1516
512	1592	1511
513	1593	1507
514	1595	1502
515	1598	1499
516	1602	1497
517	1604	1492
518	1605	1487
519	1606	1483
520	1608	1479
521	1613	1477
522	1614	1472
523	1616	1468
524	1617	1463
525	1623	1462
526	1625	1458
527	1627	1454
528	1628	1450
529	1629	1445
530	1632	1441
531	1639	1442
532	1640	1437
533	1642	1433
534	1644	1429
535	1647	1426
536	1651	1424
537	1653	1419
538	1654	1415
539	1655	1410
540	1665	1413
541	1667	1409
542	1669	1404
543	1672	1401
544	1677	1400
545	1679	1396
546	1681	1392
547	1682	1387
548	1687	1386
549	1689	1382
550	1691	1378
551	1692	1373
552	1693	1369
553	1694	1364
554	1701	1364
555	1703	1360
556	1705	1356
557	1706	1351
558	1707	1347
559	1714	1347
560	1716	1342
561	1717	1338
562	1718	1333
563	1720	1330
564	1723	1326
565	1726	1324
566	1728	1319
567	1729	1315
568	1730	1311
569	1732	1306
570	1733	1302
571	1741	1303
572	1743	1299
573	1744	1294
574	1745	1290
575	1748	1287
576	1753	1285
577	1754	1280
578	1755	1276
579	1756	1272
580	1758	1267
581	1759	1263
582	1765	1263
583	1769	1260
584	1770	1256
585	1771	1251
586	1772	1247
587	1775	1244
588	1778	1240
589	1779	1236
590	1781	1232
591	1782	1228
592	1786	1226
593	1791	1224
594	1792	1220
595	1793	1215
596	1794	1211
597	1797	1208
598	1801	1206
599	1803	1202
600	1805	1198
601	1806	1194
602	1807	1190
603	1809	1186
604	1817	1186
605	1818	1182
606	1819	1178
607	1821	1174
608	1826	1172
609	1827	1168
610	1829	1164
611	1830	1160
612	1831	1156
613	1832	1152
614	1833	1147
615	1841	1147
616	1842	1143
617	1844	1139
618	1845	1135
619	1846	1131
620	1847	1127
621	1852	1125
622	1854	1122
623	1855	1118
624	1857	1114
625	1868	1116
626	1870	1112
627	1871	1108
628	1872	1104
629	1876	1101
630	1878	1098
631	1880	1094
632	1881	1090
633	1882	1086
634	1883	1082
635	1885	1078
636	1890	1077
637	1892	1073
638	1893	1069
639	1895	1066
640	1896	1062
641	1899	1059
642	1901	1055
643	1902	1051
644	1904	1048
645	1905	1044
646	1906	1040
647	1913	1039
648	1915	1036
649	1917	1032
650	1918	1028
651	1922	1026
652	1926	1023
653	1927	1019
654	1928	1016
655	1930	1012
656	1931	1008
657	1939	1008
658	1941	1004
659	1943	1001
660	1944	997
661	1947	994
662	1951	991
663	1952	988
664	1954	984
665	1955	980
666	1956	976
667	1957	973
668	1959	969
669	1967	969
670	1968	965
671	1970	961
672	1971	957
673	1973	954
674	1978	952
675	1980	949
676	1981	945
677	1983	942
678	1987	939
679	1994	938
680	1995	934
681	1997	931
682	2001	928
683	2005	926
684	2006	922
685	2008	919
686	2009	915
687	2011	912
688	2018	911
689	2019	907
690	2020	903
691	2022	899
692	2024	896
693	2027	893
694	2029	890
695	2031	887
696	2032	883
697	2033	879
698	2035	876
699	2038	873
700	2039	870
701	2040	866
702	2042	862
703	2043	859
704	2049	857
705	2050	854
706	2052	850
707	2053	846
708	2054	843
709	2056	840
710	2062	838
711	2063	834
712	2064	831
713	2065	827
714	2066	823
715	2072	822
716	2074	818
717	2076	815
718	2077	811
719	2078	808
720	2079	804
721	2081	801
722	2087	799
723	2089	796
724	2090	793
725	2095	790
726	2098	788
727	2100	784
728	2101	781
729	2103	777
730	2109	776
731	2111	773
732	2112	769
733	2113	766
734	2115	762
735	2117	759
736	2124	758
737	2125	754
738	2126	751
739	2128	747
740	2132	745
741	2135	742
742	2136	738
743	2137	735
744	2138	732
745	2139	728
746	2140	725
747	2144	722
748	2147	719
749	2148	716
750	2150	713
751	2151	709
752	2152	706
753	2161	705
754	2163	701
755	2164	698
756	2166	695
757	2172	693
758	2175	690
759	2177	687
760	2179	684
761	2188	683
762	2189	680
763	2191	676
764	2192	673
765	2194	670
766	2195	667
767	2198	664
768	2201	661
769	2202	657
770	2208	655
771	2210	652
772	2212	649
773	2213	646
774	2214	642
775	2216	639
776	2219	637
777	2221	633
778	2223	630
779	2224	627
780	2226	624
781	2228	621
782	2232	618
783	2233	615
784	2234	611
785	2235	608
786	2236	605
787	2237	602
788	2241	599
789	2244	596
790	2246	593
791	2247	590
792	2248	586
793	2249	583
794	2251	580
795	2255	577
796	2256	574
797	2257	571
798	2258	568
799	2259	564
800	2260	561
801	2263	558
802	2267	556
803	2269	553
804	2270	550
805	2272	546
806	2273	543
807	2279	541
808	2281	538
809	2282	535
810	2283	532
811	2284	528
812	2285	525
813	2286	522
814	2289	519
815	2293	517
816	2295	514
817	2296	510
818	2297	507
819	2298	504
820	2299	501
821	2301	498
822	2305	495
823	2306	492
824	2307	489
825	2309	486
826	2312	483
827	2316	481
828	2318	478
829	2319	475
830	2321	472
831	2322	468
832	2324	465
833	2326	463
834	2327	459
835	2328	456
836	2329	453
837	2331	450
838	2333	447
839	2336	445
840	2338	442
841	2339	439
842	2340	435
843	2341	432
844	2343	429
845	2346	427
846	2347	424
847	2348	421
848	2350	417
849	2351	414
850	2352	411
851	2355	409
852	2359	406
853	2360	403
854	2362	400
855	2363	397
856	2364	394
857	2366	391
858	2370	389
859	2372	386
860	2374	383
861	2378	380
862	2382	378
863	2384	375
864	2385	372
865	2387	369
866	2388	366
867	2391	363
868	2394	361
869	2396	358
870	2397	355
871	2399	352
872	2401	349
873	2404	346
874	2406	343
875	2407	340
876	2409	337
877	2410	334
878	2417	332
879	2419	329
880	2421	327
881	2422	324
882	2423	321
883	2425	318
884	2430	315
885	2432	312
886	2433	310
887	2434	307
888	2436	304
889	2438	301
890	2445	299
891	2446	296
892	2447	293
893	2449	290
894	2452	287
895	2457	285
896	2458	282
897	2460	279
898	2463	276
899	2471	274
900	2473	271
901	2477	269
902	2482	266
903	2484	263
904	2485	260
905	2487	258
906	2497	256
907	2499	253
908	2507	250
909	2509	248
910	2510	245
911	2512	242
912	2513	239
913	2523	237
914	2524	234
915	2526	231
916	2527	228
917	2529	225
918	2534	223
919	2536	220
920	2537	217
921	2539	214
922	2540	211
923	2547	209
924	2549	206
925	2550	203
926	2552	200
927	2555	198
928	2561	195
929	2562	192
930	2563	190
931	2565	187
932	2567	184
933	2572	181
934	2574	178
935	2575	176
936	2577	173
937	2581	170
938	2582	167
939	2584	164
940	2585	162
941	2587	159
942	2595	156
943	2597	154
944	2598	151
945	2600	148
946	2609	146
947	2610	143
948	2611	140
949	2613	137
950	2614	134
951	2622	132
952	2623	129
953	2624	126
954	2626	123
955	2627	120
956	2629	118
957	2632	115
958	2635	112
959	2637	109
960	2639	107
961	2640	104
962	2647	101
963	2698	100
964	2700	97
965	2702	95
966	2703	92
967	2708	89
968	2710	86
969	2711	83
970	2713	81
971	2715	78
972	2716	75
973	2719	72
974	2722	69
975	2723	66
976	2724	64
977	2725	61
978	2727	58
979	2730	55
980	2733	52
981	2735	50
982	2736	47
983	2737	44
984	2740	41
985	2742	38
986	2744	36
987	2746	33
988	2747	30
989	2751	27
990	2754	25
991	2757	22
992	2758	19
993	2765	16
994	2768	13
995	2769	11
996	2771	8
997	2772	5
998	2777	2
999	2780	0
